target,kind,feature,l1_error,values
relay_sum,nearest,op__all__B_delta__inter_cpath__compl_size,18,"{""B0"": 13, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,op__q3__slot_delta__inter_cpath__compl_size,18,"{""B0"": 13, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,op__all__slot_delta__inter_cpath__compl_size,18,"{""B0"": 13, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,rolecouple__A_delta__shared_minus_reverse__sum,18,"{""B0"": 15, ""B1"": 30, ""O0"": 30, ""O1"": 15}"
relay_sum,nearest,op__rolepair_IW_YZ__B_delta__inter_cpath__compl_size,18,"{""B0"": 13, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,op__rolepair_WX_ZT__A_delta__inter_cpath__compl_size,18,"{""B0"": 13, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,op__rolepair_IW_YZ__slot_delta__inter_cpath__compl_size,18,"{""B0"": 13, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,op__q0__B_delta__inter_cpath__compl_size,19,"{""B0"": 14, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,op__all__A_delta__inter_cpath__compl_size,19,"{""B0"": 13, ""B1"": 15, ""O0"": 14, ""O1"": 15}"
relay_sum,nearest,op__q0__slot_delta__inter_cpath__compl_size,19,"{""B0"": 14, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,op__shared__B_delta__inter_cpath__compl_size,19,"{""B0"": 14, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_sum,nearest,op__reverse__A_delta__inter_cpath__compl_size,19,"{""B0"": 14, ""B1"": 15, ""O0"": 15, ""O1"": 15}"
relay_min,nearest,op__shared__A_delta__minus_cpath__min,2,"{""B0"": 4, ""B1"": 8, ""O0"": 6, ""O1"": 2}"
